tanggal,co_dki1,Tavg,RH_avg,ss,ff_avg
6/9/2017,17,29.7,74,6.5,1
6/10/2017,20,29.4,77,6.5,1
6/11/2017,19,28.6,81,6,1
6/12/2017,17,29.7,75,5.5,2
6/13/2017,23,30,75,5.5,2
6/14/2017,20,27.7,80,3,1
6/15/2017,20,28.9,79,1.7,1
6/16/2017,18,29.3,78,3,2
6/17/2017,18,29.6,74,6.5,1
6/18/2017,24,28.7,75,6.5,1
6/19/2017,21,29,66,5,2
6/20/2017,18,28.9,72,6.3,1
6/21/2017,21,29.1,73,4.6,1
6/22/2017,29,28.2,79,4.8,1
6/23/2017,27,28.4,78,0,1
6/24/2017,19,27.4,84,1,1
6/25/2017,27,28.1,78,0,2
6/26/2017,14,28,81,4.8,2
6/27/2017,15,27.6,77,4,1
6/28/2017,25,28.6,80,6.4,2
6/29/2017,19,28.1,78,6.4,2
6/30/2017,16,26.9,86,6.3,1
7/1/2017,22,28.2,78,2.1,1
7/2/2017,18,29.1,74,6.5,2
7/3/2017,14,29.2,77,6.3,1
7/4/2017,16,29.8,74,6.5,1
7/5/2017,18,29.9,73,6.5,1
7/6/2017,19,28.2,72,6.2,1
7/7/2017,21,28.8,73,2.8,1
7/8/2017,28,29.2,72,5.7,1
7/9/2017,16,29.1,70,5.3,1
7/10/2017,19,28.2,76,6,1
7/11/2017,19,28.1,79,4.8,1
7/12/2017,19,28,78,2.2,1
7/13/2017,23,27.9,78,3.2,1
7/14/2017,22,28.4,75,3,1
7/15/2017,22,28.7,71,1.1,0
7/16/2017,21,27.8,72,0,1
7/17/2017,19,28,62,2,1
7/18/2017,26,27.9,71,5.7,1
7/19/2017,22,28,78,0,1
7/20/2017,24,28.3,79,6.2,1
7/21/2017,23,27.7,80,5,1
7/22/2017,23,29.2,74,4.2,2
7/23/2017,20,28.6,81,5.2,0
7/24/2017,25,28.3,76,3.3,1
7/25/2017,20,28.8,67,4,2
7/26/2017,19,29,62,6.5,1
7/27/2017,20,28.5,71,5.6,1
7/28/2017,20,28.8,73,5,2
7/29/2017,18,29.6,74,6,1
7/30/2017,24,29.2,74,6.4,2
7/31/2017,19,29,78,6.1,1
8/1/2017,18,28.3,63,5.8,1
8/2/2017,19,28.3,64,5.2,2
8/3/2017,18,28.2,67,6.3,1
8/4/2017,18,28.3,66,6.5,1
8/5/2017,19,28.7,70,6.4,2
8/6/2017,19,29,71,5.6,1
8/7/2017,18,28.9,72,6,2
8/8/2017,19,28.9,72,6.4,2
8/9/2017,23,28.6,73,6.6,2
8/10/2017,21,27.9,76,2,1
8/11/2017,21,28.9,75,7,1
8/12/2017,18,28.9,77,4.2,2
8/13/2017,18,28.7,77,6,1
8/14/2017,25,28.8,76,3.4,2
8/15/2017,23,28,77,4.6,1
8/16/2017,19,27.9,62,2.2,1
8/17/2017,18,28.5,68,6.7,2
8/18/2017,17,29.3,67,5.5,2
8/19/2017,16,29.7,66,5.2,2
8/20/2017,15,29,70,6.6,1
8/21/2017,18,29,67,3.5,2
8/22/2017,19,28.6,68,6.5,1
8/23/2017,21,29.1,66,3.6,2
8/24/2017,18,29.4,63,4.6,2
8/25/2017,16,29.2,63,7,2
8/26/2017,19,29.3,59,4,2
8/27/2017,18,28.5,64,4.2,3
8/28/2017,16,29.2,64,7,2
8/29/2017,21,27.9,74,6,2
8/30/2017,20,28,76,2.5,1
8/31/2017,16,28.4,78,7.2,1
9/1/2017,16,28.6,69,5.8,1
9/2/2017,15,28.9,68,5.2,1
9/3/2017,19,29.2,66,6.3,1
9/4/2017,20,28.9,69,7.5,2
9/5/2017,19,29.2,72,5.9,1
9/6/2017,19,29.4,68,3,1
9/7/2017,16,29.5,66,7.5,1
9/8/2017,16,29.5,67,7.5,1
9/9/2017,16,29.1,74,9,2
9/10/2017,17,28.9,73,9,1
9/11/2017,20,28.6,78,8,1
9/12/2017,20,28.6,77,6,2
9/13/2017,21,27.8,72,5.5,2
9/14/2017,21,29.1,70,7,1
9/15/2017,21,29.1,70,9.4,1
9/16/2017,18,30.5,64,9,1
9/17/2017,15,29.9,69,9.4,1
9/18/2017,18,29.4,66,8.5,2
9/19/2017,16,29.5,70,8,2
9/20/2017,17,28.2,75,7,2
9/21/2017,18,27.2,79,6.6,1
9/22/2017,18,28.6,69,8,1
9/23/2017,21,29,68,9.3,1
9/24/2017,20,28,78,8,1
9/25/2017,21,28.6,74,0.4,1
9/26/2017,24,29.6,73,4.6,2
9/27/2017,20,25.6,89,6,1
9/28/2017,31,28,81,0,1
9/29/2017,22,29.4,77,4.5,2
9/30/2017,20,29.1,75,7,1
10/1/2017,20,28,78,7.5,2
10/2/2017,26,28.7,79,3.7,1
10/3/2017,22,28.8,78,6,1
10/4/2017,20,28,79,5,1
10/5/2017,21,29.8,74,7.8,2
10/6/2017,16,29.6,76,8,1
10/7/2017,20,29.9,70,8,2
10/8/2017,19,29.1,72,7,1
10/9/2017,19,29,77,8,1
10/10/2017,30,28.5,78,3,1
10/11/2017,20,29.4,76,0.7,1
10/12/2017,23,28.7,76,6.8,1
10/13/2017,29,28.8,70,1.3,2
10/14/2017,19,29.4,73,7,2
10/15/2017,15,29.7,66,6,1
10/16/2017,18,28.4,77,6.3,2
10/17/2017,22,28.5,74,2,2
10/18/2017,21,28.9,75,3,1
10/19/2017,23,27.5,83,4,1
10/20/2017,24,28.7,75,3,1
10/21/2017,37,30,73,8,1
10/22/2017,21,30.1,72,7.8,1
10/23/2017,17,27.7,73,8.3,1
10/24/2017,25,29.3,73,5.7,2
10/25/2017,20,28.8,74,8.3,1
10/26/2017,19,29.6,70,7,1
10/27/2017,18,29.3,69,4.8,1
10/28/2017,23,28.6,79,6.2,2
10/29/2017,33,28.5,81,0.3,1
10/30/2017,24,28.9,75,3,1
10/31/2017,21,29.7,68,8,2
11/1/2017,19,29.1,69,7.8,2
11/2/2017,19,29.2,70,5,2
11/3/2017,19,29.5,73,7,1
11/4/2017,20,29,76,5,1
11/5/2017,27,29.4,75,2.6,2
11/6/2017,16,29.1,79,8,2
11/7/2017,19,27.5,83,7.2,1
11/8/2017,27,27.8,79,0,1
11/9/2017,21,28.2,80,3,2
11/10/2017,28,28.2,76,1,1
11/11/2017,24,28.5,74,7.3,2
11/12/2017,18,28.3,80,5,1
11/13/2017,21,27.8,81,3,2
